	ID	kingdom	clade	phylum	class	subclass	order	family	genus	species	region	depth	size_fraction
279	SPO-SPSG-DCM-0-8-5-00_bin-173	Viridiplantae		Chlorophyta	Mamiellophyceae		Mamiellales	Bathycoccaceae	Bathycoccus	Bathycoccus prasinos	SPO-SPSG	DCM	0-8-5-00
280	SAO-all-DCM-0-8-5-00_bin-320	Viridiplantae		Chlorophyta	Mamiellophyceae		Mamiellales	Mamiellaceae	Micromonas	Micromonas pusilla	SAO-all	DCM	0-8-5-00
281	NPO-all-SRF-20-180-00_bin-1	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Calanoida	Temoridae	Eurytemora	Eurytemora affinis	NPO-all	SRF	20-180-00
282	IO-all-SRF-20-180-00_bin-82	Metazoa	Opisthokonta	Arthropoda	Insecta	Pterygota	Diptera				IO-all	SRF	20-180-00
283	NAO-all-SRF-20-180-00_bin-84	Metazoa	Opisthokonta	Arthropoda	Insecta	Pterygota	Diptera				NAO-all	SRF	20-180-00
284	SAO-all-SRF-0-8-5-00_bin-266		Sar	Bacillariophyta	Coscinodiscophyceae						SAO-all	SRF	0-8-5-00
285	MS-all-SRF-0-8-5-00_bin-250		Sar	Bacillariophyta	Dictyochophyceae		Pedinellales		Florenciella	Pseudopedinella elastica	MS-all	SRF	0-8-5-00
286	SPO-SPSG-SRF-0-8-5-00_bin-379	Viridiplantae	core chlorophytes	Chlorophyta	Chlorophyceae		Chlamydomonadales	Chlamydomonadaceae	Chlamydomonas		SPO-SPSG	SRF	0-8-5-00
287	MS-all-SRF-0-8-5-00_bin-161		Sar	Bacillariophyta	Chrysophyceae		Chromulinales	Chromulinaceae	Ochromonas	Paraphysomonas bandaiensis	MS-all	SRF	0-8-5-00
288	SPO-all-SRF-5-20-00_bin-110	Metazoa	Opisthokonta	Chordata	Aves						SPO-all	SRF	5-20-00
289	IO-all-SRF-0-8-5-00_bin-538		Sar	Bacillariophyta	Bacillariophyceae		Bacillariales	Bacillariaceae	Cylindrotheca	Cylindrotheca closterium	IO-all	SRF	0-8-5-00
290	NPO-all-DCM-0-8-5-00_bin-249		Sar	Bacillariophyta	Mediophyceae	Cymatosirophycidae	Cymatosirales	Cymatosiraceae	Extubocellulus	Extubocellulus spinifer	NPO-all	DCM	0-8-5-00
