old_mag_name	new_mag_name
NAO-all-SRF-20-180-00_bin-15	TOPAZ_NAS3_E001
NAO-all-SRF-20-180-00_bin-19	TOPAZ_NAS3_E002
NAO-all-SRF-20-180-00_bin-32	TOPAZ_NAS3_E003
NAO-all-SRF-20-180-00_bin-39	TOPAZ_NAS3_E004
NAO-all-SRF-20-180-00_bin-40	TOPAZ_NAS3_E005
NAO-all-SRF-20-180-00_bin-41	TOPAZ_NAS3_E006
NAO-all-SRF-20-180-00_bin-42	TOPAZ_NAS3_E007
NAO-all-SRF-20-180-00_bin-44	TOPAZ_NAS3_E008
NAO-all-SRF-20-180-00_bin-6	TOPAZ_NAS3_E009
NAO-all-SRF-20-180-00_bin-67	TOPAZ_NAS3_E010
NAO-all-SRF-20-180-00_bin-71	TOPAZ_NAS3_E011
NAO-all-SRF-20-180-00_bin-8	TOPAZ_NAS3_E012
NAO-all-SRF-20-180-00_bin-82	TOPAZ_NAS3_E013
NAO-all-SRF-20-180-00_bin-84	TOPAZ_NAS3_E014
NAO-all-SRF-20-180-00_bin-85	TOPAZ_NAS3_E015
NAO-all-DCM-5-20-00_bin-19	TOPAZ_NAD2_E001
NAO-all-DCM-5-20-00_bin-6	TOPAZ_NAD2_E002
NAO-all-MIX-5-20-00_bin-30	TOPAZ_NAX2_E001
NAO-all-MIX-5-20-00_bin-5	TOPAZ_NAX2_E002
NAO-all-SRF-5-20-00_bin-25	TOPAZ_NAS2_E001
NAO-all-SRF-5-20-00_bin-26	TOPAZ_NAS2_E002
NAO-all-SRF-5-20-00_bin-3	TOPAZ_NAS2_E003
NAO-all-SRF-5-20-00_bin-30	TOPAZ_NAS2_E004
